,Open,High,Low,Close,Adj Close,Volume
2020-04-23 13:30:00,275.8699951171875,281.75,274.8699951171875,275.02999877929693,274.28750610351557,31203600
2020-04-24 13:30:00,277.20001220703125,283.010009765625,277.0,282.9700012207031,282.2060852050781,31627200
2020-04-27 13:30:00,281.79998779296875,284.5400085449219,279.95001220703125,283.1700134277344,282.4055480957031,29271900
2020-04-28 13:30:00,285.0799865722656,285.8299865722656,278.20001220703125,278.57998657226557,277.82791137695307,28001200
2020-04-29 13:30:00,284.7300109863281,289.6700134277344,283.8900146484375,287.7300109863281,286.9532470703125,34320200
2020-04-30 13:30:00,289.9599914550781,294.5299987792969,288.3500061035156,293.79998779296875,293.0068359375,45766000
2020-05-01 13:30:00,286.25,299.0,285.8500061035156,289.07000732421875,288.28961181640625,60154200
2020-05-04 13:30:00,289.1700134277344,293.69000244140625,286.32000732421875,293.1600036621094,292.3685607910156,33392000
2020-05-05 13:30:00,295.05999755859375,301.0,294.4599914550781,297.55999755859375,296.7566833496094,36937800
2020-05-06 13:30:00,300.4599914550781,303.239990234375,298.8699951171875,300.6300048828125,299.8183898925781,35583400
2020-05-07 13:30:00,303.2200012207031,305.1700134277344,301.9700012207031,303.739990234375,302.91998291015625,28803800
2020-05-08 13:30:00,305.6400146484375,310.3500061035156,304.2900085449219,310.1300048828125,310.1300048828125,33512000
2020-05-11 13:30:00,308.1000061035156,317.04998779296875,307.239990234375,315.010009765625,315.010009765625,36486600
2020-05-12 13:30:00,317.8299865722656,319.69000244140625,310.9100036621094,311.4100036621094,311.4100036621094,40575300
2020-05-13 13:30:00,312.1499938964844,315.95001220703125,303.2099914550781,307.6499938964844,307.6499938964844,50155600
2020-05-14 13:30:00,304.510009765625,309.7900085449219,301.5299987792969,309.5400085449219,309.5400085449219,39732300
2020-05-15 13:30:00,300.3500061035156,307.8999938964844,300.2099914550781,307.7099914550781,307.7099914550781,41587100
2020-05-18 13:30:00,313.1700134277344,316.5,310.32000732421875,314.9599914550781,314.9599914550781,33843100
2020-05-19 13:30:00,315.0299987792969,318.5199890136719,313.010009765625,313.1400146484375,313.1400146484375,25432400
2020-05-20 13:30:00,316.67999267578125,319.5199890136719,316.5199890136719,319.2300109863281,319.2300109863281,27876200
2020-05-21 13:30:00,318.6600036621094,320.8900146484375,315.8699951171875,316.8500061035156,316.8500061035156,25672200
2020-05-22 13:30:00,315.7699890136719,319.2300109863281,315.3500061035156,318.8900146484375,318.8900146484375,20430600
